SkillsList,Count,Count,CalcScore100,CalcScore,CalculatedScorePercent,JobTitle
api,6,6,500,5,0.833333333333334,"Director,  API Service Operations"
business insights,2,2,600,6,1,"Director,  API Service Operations"
coaching,2,2,600,6,1,"Director,  API Service Operations"
communication,16,16,400,4,0.666666666666667,"Director,  API Service Operations"
governance,3,3,433,4.333333333333333,0.722222222222222,"Director,  API Service Operations"
impact,20,20,500,5,0.833333333333334,"Director,  API Service Operations"
leaders,6,6,400,4,0.666666666666667,"Director,  API Service Operations"
performance,10,10,500,5,0.833333333333334,"Director,  API Service Operations"
research,5,5,500,5,0.833333333333334,"Director,  API Service Operations"
stakeholders,15,15,400,4,0.666666666666667,"Director,  API Service Operations"
vendors,3,3,500,5,0.833333333333334,"Director,  API Service Operations"
