SkillsList,title,CalculatedScorePercent,Count
agile development,Senior Full Stack Developer,,2
angular 7,Senior Full Stack Developer,,1
big data platforms,YYC DataCon - Software Engineer/Senior Software Engineer Hybrid Opportunities,,1
caching,Senior Full Stack Developer,,1
cloud applications,Senior Full Stack Developer,,1
continuous delivery,Senior Full Stack Developer,,2
full software development life cycle,Senior Full Stack Developer,,1
jpa,Senior Full Stack Developer,,1
junit,Senior Full Stack Developer,,1
load balancing,Senior Full Stack Developer,,1
microsoft azure,YYC DataCon - Software Engineer/Senior Software Engineer Hybrid Opportunities,,2
mockito,Senior Full Stack Developer,,1
mvc,Senior Full Stack Developer,,1
object-oriented design,YYC DataCon - Software Engineer/Senior Software Engineer Hybrid Opportunities,,2
pivotal cloud foundry,Senior Full Stack Developer,,1
resiliency,Senior Full Stack Developer,,2
rest api,Senior Full Stack Developer,,1
scala programming,YYC DataCon - Software Engineer/Senior Software Engineer Hybrid Opportunities,,1
spring framework,Senior Full Stack Developer,,1
ssl certificates,Senior Full Stack Developer,,1
swagger,Senior Full Stack Developer,,1
openshift,Senior Full Stack Developer,0,8
openshift,YYC DataCon - Software Engineer/Senior Software Engineer Hybrid Opportunities,0,8
hadoop,YYC DataCon - AI Engineer/Senior AI Engineer Hybrid Opportunities,0.0555555555555556,8
hadoop,YYC DataCon - Data Engineer/Senior Data Engineer Hybrid Opportunities,0.0555555555555556,8
hadoop,YYC DataCon - Software Engineer/Senior Software Engineer Hybrid Opportunities,0.0555555555555556,8
spark,YYC DataCon - AI Engineer/Senior AI Engineer Hybrid Opportunities,0.111111111111111,12
spark,YYC DataCon - Data Engineer/Senior Data Engineer Hybrid Opportunities,0.111111111111111,12
spark,YYC DataCon - Software Engineer/Senior Software Engineer Hybrid Opportunities,0.111111111111111,12
scala,YYC DataCon - Software Engineer/Senior Software Engineer Hybrid Opportunities,0.166666666666667,4
kafka,Senior Full Stack Developer,0.277777777777778,10
kafka,YYC DataCon - AI Engineer/Senior AI Engineer Hybrid Opportunities,0.277777777777778,10
kafka,YYC DataCon - Data Engineer/Senior Data Engineer Hybrid Opportunities,0.277777777777778,10
data products,YYC DataCon - AI Engineer/Senior AI Engineer Hybrid Opportunities,0.333333333333333,8
data products,YYC DataCon - Data Engineer/Senior Data Engineer Hybrid Opportunities,0.333333333333333,8
kubernetes,YYC DataCon - Data Engineer/Senior Data Engineer Hybrid Opportunities,0.333333333333333,13
kubernetes,YYC DataCon - Software Engineer/Senior Software Engineer Hybrid Opportunities,0.333333333333333,13
big data technologies,YYC DataCon - AI Engineer/Senior AI Engineer Hybrid Opportunities,0.388888888888889,8
big data technologies,YYC DataCon - Data Engineer/Senior Data Engineer Hybrid Opportunities,0.388888888888889,8
